               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10185,            0.023719,            0.048565,          0.00053656,               0.116,          0.00038334,          0.00011971,            0.085264,            0.013148,            0.042859,             0.07075,             0.00325,             0.00325
                   1,            0.087996,            0.025274,            0.043031,          0.00079424,             0.11204,          0.00055303,          0.00014661,            0.078855,            0.013028,            0.040307,            0.040685,           0.0065182,           0.0065182
                   2,            0.084722,            0.025052,            0.038968,           0.0016428,             0.38718,           0.0066413,           0.0017722,            0.082368,            0.012168,            0.039085,            0.010554,           0.0097203,           0.0097203
                   3,            0.084581,            0.025949,            0.036039,            0.001802,             0.11479,           0.0015158,           0.0004682,            0.090176,            0.022043,            0.046851,            0.009703,            0.009703,            0.009703
                   4,            0.083821,            0.024884,            0.032706,             0.68412,            0.068433,           0.0085229,           0.0028351,            0.090396,             0.02829,            0.055733,            0.009703,            0.009703,            0.009703
                   5,            0.083104,             0.02618,            0.029335,             0.67791,            0.099338,           0.0095876,           0.0027724,            0.076947,             0.01345,            0.031666,            0.009604,            0.009604,            0.009604
                   6,            0.081424,            0.025732,            0.027437,             0.68488,            0.022582,            0.012713,           0.0033019,            0.072683,            0.014416,            0.031064,            0.009505,            0.009505,            0.009505
                   7,            0.078814,              0.0263,            0.023751,             0.68648,            0.050773,            0.019598,           0.0060125,            0.086134,             0.01048,            0.041989,            0.009406,            0.009406,            0.009406
                   8,             0.07936,            0.026948,            0.022543,              0.6974,            0.068433,            0.026243,           0.0069271,            0.072721,            0.017532,            0.035288,            0.009307,            0.009307,            0.009307
                   9,            0.075924,            0.026462,            0.020745,             0.37142,            0.094923,            0.033637,           0.0089936,            0.072811,            0.015591,             0.02484,            0.009208,            0.009208,            0.009208
                  10,            0.075995,             0.02712,            0.018828,             0.35435,            0.028698,           0.0055215,          0.00093109,               0.082,            0.012794,            0.037835,            0.009109,            0.009109,            0.009109
                  11,            0.072741,            0.027712,            0.017408,            0.019576,            0.049472,           0.0048451,          0.00096038,            0.085012,            0.018938,            0.046431,             0.00901,             0.00901,             0.00901
                  12,            0.071965,            0.027229,            0.018378,             0.38148,            0.081678,            0.027771,           0.0069363,            0.071557,             0.01753,            0.025893,            0.008911,            0.008911,            0.008911
                  13,            0.067721,            0.026606,            0.016249,            0.013338,            0.028698,           0.0078924,           0.0016934,            0.073793,            0.017686,            0.032535,            0.008812,            0.008812,            0.008812
                  14,            0.071203,            0.027042,            0.017786,            0.042303,            0.066225,            0.027904,           0.0074163,            0.070298,            0.017365,            0.023114,            0.008713,            0.008713,            0.008713
                  15,            0.065583,            0.027255,            0.016426,             0.45751,             0.18458,            0.095537,            0.025613,            0.061642,            0.012767,            0.020451,            0.008614,            0.008614,            0.008614
                  16,            0.067115,            0.027318,            0.015232,             0.76517,             0.09713,            0.089051,            0.023455,            0.065002,            0.013146,            0.023047,            0.008515,            0.008515,            0.008515
                  17,            0.066237,            0.026931,            0.014877,             0.45124,             0.20004,             0.10289,            0.026258,            0.060914,            0.017496,            0.020075,            0.008416,            0.008416,            0.008416
                  18,            0.064166,            0.026852,            0.015025,             0.41369,              0.1613,            0.074187,            0.021493,            0.061787,            0.015271,            0.023782,            0.008317,            0.008317,            0.008317
                  19,            0.062976,            0.027104,            0.015043,             0.45181,             0.13176,            0.079962,            0.026437,            0.064033,            0.013447,            0.021326,            0.008218,            0.008218,            0.008218
                  20,            0.063911,            0.026739,            0.013923,             0.42009,             0.18274,            0.073405,            0.021803,            0.066481,            0.015069,            0.021625,            0.008119,            0.008119,            0.008119
                  21,            0.061971,            0.027107,            0.014011,             0.45806,             0.20339,             0.14858,             0.04233,            0.063488,            0.012899,            0.019732,             0.00802,             0.00802,             0.00802
                  22,            0.059978,            0.026774,            0.012624,             0.56924,             0.28869,               0.239,            0.091075,            0.061697,            0.012465,            0.019399,            0.007921,            0.007921,            0.007921
                  23,            0.060545,            0.026457,            0.012439,             0.47686,             0.17131,              0.1144,            0.032084,            0.064004,            0.015833,            0.030582,            0.007822,            0.007822,            0.007822
                  24,            0.057677,             0.02473,            0.012456,             0.50841,             0.20424,              0.1589,            0.055153,             0.05886,            0.014332,            0.022085,            0.007723,            0.007723,            0.007723
                  25,            0.060057,            0.026016,            0.012379,             0.49903,             0.23375,             0.16972,            0.060162,            0.058703,             0.01217,            0.025695,            0.007624,            0.007624,            0.007624
                  26,            0.059706,            0.026635,            0.012212,             0.58587,             0.26857,             0.22209,            0.070579,            0.060393,            0.012544,             0.02038,            0.007525,            0.007525,            0.007525
